Date,Time,이용카드명,Location,Domestic Amount (KRW),Foreign Amount (USD),Discount Amount,Expected Points,Status,Payment Due Date,Approval Number
2023-08-20,13:20,KB국민 톡톡 with 리브메이트카드,카카오개인택시영세,4600,0,0,0,전표미매입,,30012912
2023-08-20,13:09,KB국민 톡톡 with 리브메이트카드,카카오택시 선승인 로카모빌리티,4500,0,0,0,승인취소,,30012901
2023-08-20,00:18,KB국민 톡톡 with 리브메이트카드,헥토_대표(구),432,0,0,0,전표미매입,,30012891
2023-08-20,00:10,KB국민 톡톡 with 리브메이트카드,헥토_대표(구),1144,0,0,0,전표미매입,,30012880
2023-08-20,00:02,KB국민 톡톡 with 리브메이트카드,밥끼,800,0,0,0,전표미매입,,30012872
2023-08-19,00:00,KB국민 톡톡 with 리브메이트카드,지에스25 강원대기숙사점,7200,0,0,0,전표매입,2023-09-14,30012867
2023-08-18,20:39,KB국민 톡톡 with 리브메이트카드,헥토_대표(구),432,0,0,0,전표매입,2023-09-14,30012846
2023-08-18,20:34,KB국민 톡톡 with 리브메이트카드,헥토_대표(구),544,0,0,0,전표매입,2023-09-14,30012835
2023-08-18,14:57,KB국민 톡톡 with 리브메이트카드,애플코리아 유한회사,459000,0,0,0,전표매입,2023-09-14,30012827
2023-08-18,06:21,KB국민 톡톡 with 리브메이트카드,쿠팡(쿠페이),2290,0,0,0,전표매입,2023-09-14,30012812
2023-08-17,14:02,KB국민 톡톡 with 리브메이트카드,헥토_대표(구),432,0,0,0,전표매입,2023-09-14,30012802
2023-08-17,12:52,KB국민 톡톡 with 리브메이트카드,헥토_대표(구),688,0,0,0,전표매입,2023-09-14,30012790
2023-08-17,12:50,KB국민 톡톡 with 리브메이트카드,티머니onda_0,3740,0,0,0,전표매입,2023-09-14,30012785
2023-08-17,12:43,KB국민 톡톡 with 리브메이트카드,티머니onda_가승인,3800,0,0,0,승인취소,,30012774
2023-08-17,11:08,KB국민 톡톡 with 리브메이트카드,데이빗하우스,4500,0,0,0,전표매입,2023-09-14,30012761
2023-08-17,09:04,KB국민 톡톡 with 리브메이트카드,티머니onda_0,3530,0,0,0,전표매입,2023-09-14,30012752
2023-08-17,08:58,KB국민 톡톡 with 리브메이트카드,티머니onda_가승인,3800,0,0,0,승인취소,,30012741
2023-08-17,05:49,KB국민 톡톡 with 리브메이트카드,지하철 2 건,2700,0,135,0,전표매입,2023-09-14,48027721
2023-08-16,18:31,KB국민 톡톡 with 리브메이트카드,헥토_대표(구),976,0,0,0,전표매입,2023-09-14,30012734
2023-08-16,16:14,KB국민 톡톡 with 리브메이트카드,밥끼,1948,0,0,0,전표매입,2023-09-14,30012726
2023-08-16,15:43,KB국민 톡톡 with 리브메이트카드,강원대PC카페,10000,0,0,0,전표매입,2023-09-14,30012717
2023-08-15,14:50,KB국민 톡톡 with 리브메이트카드,티머니onda_0,3750,0,0,0,전표매입,2023-09-14,30012707
2023-08-15,14:46,KB국민 톡톡 with 리브메이트카드,티머니onda_가승인,3800,0,0,0,승인취소,,30012695
